Brand,Battery name,Capacity [mAh],Voltage Output [V],C-rate [-],Configuration,Connector Plug,Retail Price,Weight [+20 g],Length [+5 mm],Width [2+ mm],Height [2+ mm],Source:
Tattu,,22000,14.8,25,4S1P,NO,$343.89,1711,204,90,43,https://www.genstattu.com/tattu-22000mah-14-8v-25c-4s1p-lipo-battery-pack-with-na-plug.html
Tattu,,17000,22.8,15,6S1P,XT90-S,$345.99,1874,192,76,62,https://www.genstattu.com/tattu-22-8v-15c-6s-17000mah-lipo-battery-with-xt90-plug-for-uav.html
Tattu,,12000,22.2,15,6S1P,EC5,$260.63,1470,184,71,61,https://www.genstattu.com/tattu-12000mah-6s1p-15c-lipo-battery-pack-with-ec5-plug.html
Tattu,,16000,44.4,15,12S1P,AS150U,$599.99,4141,217,150,80,https://www.genstattu.com/tattu-plus-1-0-compact-version-16000mah-44-4v-15c-12s1p-lipo-smart-battery-pack-with-tattu-plus-1-0-compact-version-16000mah-44-4v-15c-12s1p-lipo-smart-battery-pack-with-as150u-plug/
Tattu,,23000,22.8,25,6S1P,AS150+XT150,$482.99,2473,208,91,63,https://www.genstattu.com/tattu-25c-23000-6s1p-hv-as150.html
Tattu,,6000,22.2,35,6S1P,XT60,$129.99,885,148,45,59,https://www.genstattu.com/tattu-6000mah-6s1p-35c-22-2v-lipo-battery-pack-with-xt60-plug.html
Tattu,,25000,22.8,10,6S1P,XT90-S,$489.99,2577,207,91,65,https://www.genstattu.com/tattu-10c-25000-6s1p-hv-xt90.html
Tattu,,3200,14.8,45,4S1P,XT60,$57.68,361,136,44,29,https://www.genstattu.com/tattu-3200mah-45c-4s1p-lipo-battery-pack-with-xt60-plug/
Tattu,,12000,22.2,15,6S1P,AS150+XT150,$273.99,1670,202,76,61,https://www.genstattu.com/tattu-plus2-15c-12000mah-6s1p-as150-lipo-battery.html
Tattu,,23000,22.8,25,6S1P,XT90-S,$482.99,2474,208,91,62,https://www.genstattu.com/ta-25c-23000-6s1p-hv-xt90.html
Tattu,,11000,22.8,25,6S1P,EC5,$210.00,1300,178,65,56,https://www.genstattu.com/ta-25c-11000-6s1p-hv-ec5.html
Tattu,,11000,22.8,25,6S1P,XT90-S,$210.00,1296,178,65,57,https://www.genstattu.com/ta-25c-11000-6s1p-hv-xt90.html
Tattu,,12000,22.2,15,6S1P,EC5,$273.99,1670,202,76,61,https://www.genstattu.com/tattu-plus2-15c-12000mah-6s1p-ec5-smart-lipo-battery.html
Tattu,,10000,44.4,30,12S1P,AS150,$420.00,2670,180,180,68,https://www.genstattu.com/tattu-plus-25c-22000mah-12s1p-as150-smart-lipo-battery.html
